date,key_mlbam,name,rank,predicted_probability,metric,probability,Matchup_Hit_Probability,Model_Hit_Probability,actual_hit,at_bats,model_version,strategy
2026-04-03,665742,Juan Soto,1,0.6532375529661016,Game_Hit_Probability,0.6183311925047481,,,1,1.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-03,680977,Brendan Donovan,2,0.6219875529661016,Game_Hit_Probability,0.6123874625755865,,,0,3.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-03,621566,Matt Olson,3,0.6219875529661016,Game_Hit_Probability,0.5993114183749612,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-03,686948,Drake Baldwin,4,0.6219875529661016,Game_Hit_Probability,0.578142545011621,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-03,514888,José Altuve,5,0.5907375529661016,Game_Hit_Probability,0.5793537948721699,,,0,2.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-03,621566,Matt Olson,1,0.6219875529661016,Game_Hit_Probability,0.5993114183749612,0.7508555178593417,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-03,686948,Drake Baldwin,2,0.6219875529661016,Game_Hit_Probability,0.578142545011621,0.72904481508628,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-03,645277,Ozzie Albies,3,0.5594875529661016,Game_Hit_Probability,0.5832167074334436,0.731490537763252,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-03,665742,Juan Soto,4,0.6532375529661016,Game_Hit_Probability,0.6183311925047481,0.5754631236326113,,1,1.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-03,680977,Brendan Donovan,5,0.6219875529661016,Game_Hit_Probability,0.6123874625755865,0.5692003055440216,,0,3.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-03,621566,Matt Olson,1,0.6219875529661016,Game_Hit_Probability,0.5993114183749612,0.7508555178593417,,1,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-03,686948,Drake Baldwin,2,0.6219875529661016,Game_Hit_Probability,0.578142545011621,0.72904481508628,,1,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-03,665742,Juan Soto,3,0.6532375529661016,Game_Hit_Probability,0.6183311925047481,0.5754631236326113,,1,1.0,backtest-c2-current-heuristic,c2_current_heuristic
