strategy,window,n,hit_rate,ci_low,ci_high,day_success_rate,longest_streak,p_vs_c1,p_vs_c2
c2a: no lineup qualifier (PA+recency+teams),full_season,274,0.6934306569343066,0.6364758467063314,0.745036690875065,0.5,13,1.0,0.41336421287293695
c2a: no lineup qualifier (PA+recency+teams),first_half,134,0.6940298507462687,0.6115042750414341,0.7657407167403363,0.5072463768115942,13,,
c2a: no lineup qualifier (PA+recency+teams),second_half,140,0.6928571428571428,0.6121436386170994,0.7632696840975556,0.49333333333333335,6,,
c2b: no recency qualifier (PA+lineup+teams),full_season,278,0.6546762589928058,0.5970179041681456,0.7081181831905021,0.4652777777777778,11,0.3653213103743336,1.0
c2b: no recency qualifier (PA+lineup+teams),first_half,133,0.6691729323308271,0.5854477743344908,0.7433999329890939,0.5072463768115942,11,,
c2b: no recency qualifier (PA+lineup+teams),second_half,145,0.6413793103448275,0.5605961054218109,0.7148647797700747,0.4266666666666667,8,,
c1-alt: rank by Matchup_Hit_Probability only,full_season,253,0.6284584980237155,0.5674100603846561,0.6856643470667427,0.4225352112676056,8,0.14033423760282726,0.5253920092815199
c1-alt: rank by Matchup_Hit_Probability only,first_half,124,0.6209677419354839,0.5331564711030891,0.7015091864757793,0.4264705882352941,7,,
c1-alt: rank by Matchup_Hit_Probability only,second_half,129,0.6356589147286822,0.5498054406768758,0.7136665229007155,0.4189189189189189,8,,
c1-alt: rank by combined_probability (additive),full_season,272,0.6911764705882353,0.6339275946504064,0.743100573793277,0.5,13,1.0,0.4145311766238917
c1-alt: rank by combined_probability (additive),first_half,134,0.6865671641791045,0.6037522655426389,0.7589833034782941,0.4927536231884058,13,,
c1-alt: rank by combined_probability (additive),second_half,138,0.6956521739130435,0.614445228100096,0.7662615162394624,0.5066666666666667,9,,
c1-alt: PA>=15 (looser volume bar),full_season,282,0.6879432624113475,0.6316452193430906,0.7391897198477735,0.4966442953020134,13,1.0,0.47195664139589166
c1-alt: PA>=15 (looser volume bar),first_half,144,0.6875,0.6077537883161784,0.7575023477551829,0.5,13,,
c1-alt: PA>=15 (looser volume bar),second_half,138,0.6884057971014492,0.6069136068529343,0.75969288769627,0.49333333333333335,6,,
c1-alt: PA>=50 (stricter volume bar),full_season,264,0.7007575757575758,0.6429618058040164,0.7527947005513401,0.5142857142857142,15,0.851190917684038,0.3118734438723034
c1-alt: PA>=50 (stricter volume bar),first_half,127,0.7165354330708661,0.6326943230112992,0.7876617361134487,0.5384615384615384,15,,
c1-alt: PA>=50 (stricter volume bar),second_half,137,0.6861313868613139,0.6042458140722458,0.7578634712691419,0.49333333333333335,6,,
