n_pa_ending,n_matched,n_unmatched,compliance_rate,mean_pa_value_matched,mean_pa_value_unmatched,pooled_p_value,n_batters_paired,paired_p_value,paired_mean_diff,shrinkage_strength,hitter_multiplier,pitcher_multiplier,leverage_multiplier
86389,37590,48799,0.5401399656665916,0.7693269486565576,0.6228406319801635,1.4722393649914738e-160,494,1.0745619564385602e-24,0.13060647860752225,10.0,1.0,1.0,1.0
86389,37652,48737,0.5400434577895017,0.7685913098905769,0.6232226029505304,1.3971359840297203e-157,494,2.226537313225412e-24,0.1295251370060025,10.0,1.0,1.0,0.98
86389,37747,48642,0.5399118561389246,0.7677696240760855,0.6235763332099832,7.652692753641688e-154,494,4.939844335701711e-24,0.12778109063932236,10.0,1.0,1.0,0.95
86389,38635,47754,0.5414179639177519,0.7616151158276174,0.625874272312267,2.0920505787137968e-151,494,1.3647713642202371e-22,0.1219000633687909,10.0,1.05,0.95,1.0
86389,38710,47679,0.5413243805217859,0.7609919917334023,0.6261666561798696,5.387273817107235e-149,494,2.9594418697600037e-22,0.12079901337301895,10.0,1.05,0.95,0.98
86389,38817,47572,0.5412805133049269,0.7602081562202128,0.6265029849491297,7.846095597707783e-146,494,7.158514744893601e-22,0.11939226004177217,10.0,1.05,0.95,0.95
86389,39409,46980,0.5426433215086813,0.7563500723185059,0.628054491272882,2.736134546926089e-146,495,2.96323280494572e-20,0.11342940044869602,10.0,1.08,0.92,1.0
86389,39476,46913,0.5425789829239547,0.7558516567028067,0.628290665700339,4.7252230944840917e-144,495,5.743066691212262e-20,0.11261094299632247,10.0,1.08,0.92,0.98
86389,39592,46797,0.5425526625938393,0.7552788442109517,0.6284590892578584,7.278428256363559e-142,495,1.2979025150701285e-19,0.11109874363254495,10.0,1.08,0.92,0.95
86389,39964,46425,0.5432428401390883,0.7529776799119208,0.6294238018309101,4.325280436586427e-140,495,1.2537556026781974e-18,0.10840671166425346,10.0,1.1,0.9,1.0
