candidate,scope,n,model_accuracy,model_log_loss,model_brier,market_accuracy,market_log_loss,beat_closing_line_rate,beat_closing_line_n,regression,prior_strength,home_field_weight,composite
baseline,overall,2333,0.6073724817831119,0.6780003511825402,0.2424587873079623,0.6691855583543241,0.6066100785516633,0.33104631217838765,2332,,,,
baseline,weeks_1_6,814,0.5909090909090909,0.681217265277389,0.2440562802054168,0.6298076923076923,0.636911125040649,0.3677736777367774,813,,,,
reg=0.3_prior=3.0_home=0.0_wt=live,overall,2333,0.609515645092156,0.6779941139139662,0.24245584072086868,0.6691855583543241,0.6066100785516633,0.3319039451114923,2332,0.3,3.0,0.0,live
reg=0.3_prior=3.0_home=0.0_wt=live,weeks_1_6,814,0.5933660933660934,0.681446911834438,0.24417165975403377,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.3,3.0,0.0,live
reg=0.3_prior=3.0_home=0.0_wt=core_only,overall,2333,0.5610801543077583,0.6843455949641851,0.245617099691711,0.6691855583543241,0.6066100785516633,0.3271869639794168,2332,0.3,3.0,0.0,core_only
reg=0.3_prior=3.0_home=0.0_wt=core_only,weeks_1_6,814,0.5442260442260443,0.6872722075601294,0.24707065139621032,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.3,3.0,0.0,core_only
reg=0.3_prior=3.0_home=0.0_wt=core_heavy,overall,2333,0.5863694813544792,0.6808761791159876,0.24389062087268015,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.3,3.0,0.0,core_heavy
reg=0.3_prior=3.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5651105651105651,0.6842197234040858,0.24555213583988686,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.3,3.0,0.0,core_heavy
reg=0.3_prior=3.0_home=0.02_wt=live,overall,2333,0.6142306043720531,0.6773954270702417,0.24215830719339815,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.3,3.0,0.02,live
reg=0.3_prior=3.0_home=0.02_wt=live,weeks_1_6,814,0.5995085995085995,0.681318816632242,0.24410817032430013,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.3,3.0,0.02,live
