name_first,name_last,at_bats,PAVE_PLUS,Expected_Hits,Expected_Bases,Expected_HRs
Michael,Lorenzen,275,1.389548486443516,7.278097252747252,11.366237637362635,0.8403681318681318
Kyle,Freeland,228,1.3312068800032197,6.913417793059215,12.540974743571544,1.50077401700235
Matthew,Liberatore,264,1.2888874474307448,5.8082051282051275,8.354628205128206,0.617051282051282
Jack,Flaherty,242,1.2558743097260947,5.558521634615383,9.748859265734264,0.7650338723776224
Chris,Paddack,212,1.2350289188243486,6.54140522875817,9.054366013071895,0.6223986928104576
Landen,Roupp,269,1.2346097974683934,5.631177334195355,8.534555384946934,0.28373282689510265
Simeon,Woods Richardson,224,1.2259074069708338,6.1117903325123155,9.428918565270935,0.5595758928571429
Jacob,Lopez,237,1.2167605753216606,6.129775269406691,10.175191189426112,0.9708533803005136
Tyler,Mahle,244,1.2149362473653493,5.810573770491803,10.016196721311475,1.0106557377049181
Brady,Singer,236,1.2015211163732982,6.235974576271187,12.980621468926554,1.95205609362389
Erick,Fedde,232,1.193318169097789,6.21678388528508,11.263761522703994,1.3484201092523045
Jesús,Luzardo,281,1.1906058078472297,5.36642877404714,7.557227274864767,0.293208603726188
Robbie,Ray,262,1.1807646812097765,5.462537229383056,10.186817669878614,1.1303528970091352
Kyle,Leahy,248,1.166014030532998,5.659619214586255,8.62735203366059,0.6825203366058906
Slade,Cecconi,268,1.1643946495465638,6.098186168394668,8.917038281873076,0.5934119478941172
Jose,Quintana,174,1.1585485755134308,6.576778321153686,11.23271041151463,0.614579038039401
Dylan,Cease,257,1.1512719920944274,4.220529507133593,7.367792153047989,0.909764915693904
Janson,Junk,252,1.1472214739639988,6.422402001380262,10.221789855072466,0.8577456866804694
Andrew,Painter,231,1.1429613782603822,5.949047619047619,9.403095238095238,0.9213492063492064
Edward,Cabrera,223,1.1399191683864112,5.609121331437529,8.438676729009442,0.7737837690036093
Aaron,Civale,241,1.1386258342926074,6.31575174271297,12.744847111788964,1.6742195216303064
David,Peterson,261,1.1326542802862722,5.524396574156325,7.56952138684756,0.0893486590038314
Aaron,Nola,243,1.1322633819362478,5.768061886672998,9.597801915163027,0.8065661601772715
Brandon,Sproat,215,1.124271571958911,4.676934966234556,8.125097105508871,0.856970772805246
Sandy,Alcántara,348,1.1183709988564827,6.059342122248314,9.909585328005052,0.8948089646932805
Trevor,Rogers,218,1.1155583744544193,5.978101655971509,11.23759880848829,0.97499724278282
Cade,Cavalli,287,1.1143069159992045,4.873993383576457,6.252794724636631,0.2022953262044936
Luis,Severino,269,1.1138365011442313,5.111552182293819,8.978319496076002,0.9606855982376428
Zac,Gallen,258,1.0997461407237112,5.799761783227696,9.940942852670398,1.1131244889486513
Ranger,Suarez,237,1.0991468753242712,4.962239038708494,7.740742982938911,0.3171555677857274
Sean,Manaea,172,1.0923222508898276,4.8840119713026855,7.4401163847299845,0.4260174022378835
George,Kirby,299,1.0914567888054576,5.752172519509476,8.86037528292963,0.6054387098408837
Jake,Irvin,227,1.090670455615996,4.679541121842237,7.826653348087659,0.7285578815405196
Brayan,Bello,252,1.0863944192943387,5.85880795540014,8.899335404346632,0.6818338270258325
Adrian,Houser,253,1.0848601757184662,5.649312431494337,8.843950036536352,0.6372668523931312
Grant,Holmes,243,1.0770728421863434,4.977492761062412,9.709926733177147,1.1440964709082453
Seth,Lugo,295,1.0767438680920622,5.467464775740805,8.384866597486452,0.4527955724662747
Jameson,Taillon,253,1.0745967250368633,5.507244132358599,11.230462677953058,1.6990813774528664
Taj,Bradley,234,1.0738365156763696,4.445488043875141,6.9921209547016,0.5148985089307669
Patrick,Corbin,207,1.0736571183484145,5.62468311479181,8.742735219691742,0.5327800782148608
Reid,Detmers,282,1.0706357614595574,4.463099618112384,7.224037097654119,0.4906594653573377
Logan,Webb,227,1.0702482111627036,4.95911013215859,7.314866740088106,0.35121255506607935
Kevin,Gausman,275,1.0664056101971602,5.339257971014493,7.1475478260869565,0.3050956521739131
Andre,Pallante,250,1.056043322713103,5.488524642857143,8.583604464285715,0.7927405357142856
Jack,Kochanowicz,283,1.0553510089604168,5.008920140275482,7.5167635381581865,0.5377408238827635
Chris,Bassitt,242,1.0515603850144446,5.523115774773553,8.513570029287973,0.4527652889035436
Tanner,Bibee,287,1.043312665276064,5.341379426907276,10.001121396501812,1.286213011597067
