name_first,name_last,PA_L,PA_R,probability_L,probability_R,probability,Game_Hit_Probability,Consistency,Approach,Expected_Bases
Alex,Bregman,67.0,200,0.5543923593662304,0.6433041011635958,0.6223096058155775,0.8473791588198367,0.22506955300425924,0.5273321903015082,1.165530963450859
Junior,Caminero,70.0,179,0.6716791717569373,0.6240440555015068,0.6379030712450723,0.826793747188484,0.1888906759434117,0.5274142706177558,1.6144013805128758
Nathan,Lukes,4.0,75,0.0,0.8064231325414875,0.7850962597202455,0.808,0.022903740279754503,0.6343577778539584,1.653006329113924
Ernie,Clement,64.0,171,0.5142345606389621,0.7587893673626012,0.703926023084064,0.7940133171912833,0.09008729410721927,0.5589266366462455,1.8855528313108842
Spencer,Steer,56.0,170,0.6804693271000294,0.6057799581119983,0.6253385001768039,0.7919590643274854,0.1666205641506815,0.4952424934879747,1.1669547614790978
Jeremy,Peña,17.0,82,0.8035239805651228,0.6292083082737098,0.6648907526131271,0.7845819397993311,0.11969118718620397,0.5216612764398445,2.0808815101368294
Maikel,García,48.0,196,0.8623169333660875,0.6374639556444385,0.694285398845992,0.7816277472527473,0.08734234840675525,0.542672732250468,1.15739366456171
Jackson,Chourio,26.0,81,0.5823318817090634,0.6360643834375077,0.6234913771883159,0.7810386473429951,0.15754727015467918,0.4869708618691834,1.2290638967899228
Bobby,Witt,52.0,208,0.6673098684482339,0.6206682896530045,0.6303481407693882,0.7733928571428572,0.14304471637346905,0.48750674958432505,1.5485630341880343
Luke,Keaschall,73.0,151,0.6976204357561149,0.6369817509095719,0.6576164504299303,0.7620535714285714,0.10443712099864111,0.5011389646803085,1.2465485809469055
Chase,Meidroth,62.0,178,0.770296909797691,0.5764943485388923,0.6347886209932213,0.7618142633228842,0.12702564232966285,0.4835910256677004,1.4490106542882406
Xavier,Edwards,58.0,200,0.634610535942632,0.6625052438887968,0.6563717674071461,0.7603575466365178,0.10398577922937169,0.4990772267471727,1.4645392965888533
Spencer,Horwitz,31.0,173,0.6354267924193848,0.674287529814914,0.6685826385457488,0.7600909090909092,0.09150827054516031,0.5081835855346369,1.7719343364239428
Jonathan,Aranda,70.0,170,0.6466797226551935,0.7201623220892828,0.6999840944254144,0.760076473234368,0.06009237880895357,0.5320414418110219,1.7973336988304096
Troy,Johnston,37.0,169,0.3739333465912691,0.7202964204386355,0.6720728694466375,0.7565608465608465,0.08448797711420908,0.5084640190591253,1.2112404179980338
Willson,Contreras,62.0,166,0.6284526781503055,0.7123946951925734,0.6910738888186148,0.7555303030303031,0.06445641421168835,0.522127264635458,1.6277587842589696
