key_mlbam,metric,age,value
682928,AVG,21,0.24647887323943662
682928,AVG,22,0.24511545293072823
682928,AVG,23,0.24584103512014788
682928,AVG,24,0.25689655172413794
677800,AVG,25,0.2531328320802005
677800,AVG,26,0.24664879356568364
660670,AVG,20,0.29330254041570436
660670,AVG,21,0.2795527156549521
660670,AVG,23,0.2828282828282828
660670,AVG,24,0.26552462526766596
660670,AVG,25,0.33748055987558323
660670,AVG,27,0.28994082840236685
642715,AVG,22,0.2777777777777778
642715,AVG,23,0.2542372881355932
642715,AVG,25,0.26156941649899396
642715,AVG,26,0.23801065719360567
642715,AVG,27,0.21699819168173598
642715,AVG,28,0.25081967213114753
642715,AVG,29,0.22504230118443316
666176,AVG,23,0.22388059701492538
666176,AVG,25,0.2074074074074074
666176,AVG,26,0.23574144486692014
645277,AVG,20,0.2857142857142857
645277,AVG,21,0.26134585289514867
645277,AVG,22,0.2953125
645277,AVG,24,0.2591414944356121
645277,AVG,25,0.24696356275303644
645277,AVG,26,0.2802013422818792
645277,AVG,27,0.2506265664160401
645277,AVG,28,0.24046434494195687
677942,AVG,26,0.23043478260869565
624413,AVG,24,0.25963149078726966
624413,AVG,25,0.23076923076923078
624413,AVG,26,0.2620320855614973
624413,AVG,27,0.271356783919598
624413,AVG,28,0.21654929577464788
624413,AVG,29,0.24013157894736842
624413,AVG,30,0.2724358974358974
514888,AVG,21,0.27601809954751133
514888,AVG,22,0.2899305555555556
514888,AVG,23,0.2827476038338658
514888,AVG,24,0.3409090909090909
514888,AVG,25,0.31347962382445144
514888,AVG,26,0.3375
514888,AVG,27,0.34576271186440677
514888,AVG,28,0.31647940074906367
514888,AVG,29,0.298
514888,AVG,31,0.2778702163061564
514888,AVG,32,0.2998102466793169
514888,AVG,33,0.3111111111111111
514888,AVG,34,0.2945859872611465
514888,AVG,35,0.2653061224489796
682626,AVG,21,0.2094240837696335
682626,AVG,22,0.237012987012987
682626,AVG,23,0.25609756097560976
670541,AVG,22,0.31309904153354634
670541,AVG,24,0.2774674115456238
670541,AVG,25,0.30638297872340425
670541,AVG,26,0.2926829268292683
670541,AVG,27,0.3079710144927536
609280,AVG,23,0.29668411867364747
609280,AVG,29,0.2847682119205298
609280,AVG,30,0.3177570093457944
666018,AVG,27,0.3162162162162162
571448,AVG,22,0.2674897119341564
571448,AVG,23,0.28703703703703703
571448,AVG,24,0.28733766233766234
571448,AVG,25,0.29449838187702265
571448,AVG,26,0.3085808580858086
571448,AVG,27,0.2966101694915254
571448,AVG,28,0.31462585034013607
571448,AVG,30,0.25463743676222594
571448,AVG,31,0.2926391382405745
571448,AVG,32,0.26607142857142857
571448,AVG,33,0.27162629757785467
571448,AVG,34,0.23690773067331672
668227,AVG,26,0.2741020793950851
668227,AVG,27,0.2627986348122867
668227,AVG,28,0.2540834845735027
668227,AVG,29,0.2185792349726776
668227,AVG,30,0.23817292006525284
650333,AVG,22,0.3343558282208589
650333,AVG,24,0.29439252336448596
650333,AVG,25,0.3162705667276051
650333,AVG,26,0.35365853658536583
650333,AVG,27,0.3139717425431711
650333,AVG,28,0.29193548387096774
672275,AVG,24,0.2331288343558282
672275,AVG,25,0.2344139650872818
672275,AVG,26,0.22249388753056235
686948,AVG,24,0.2740740740740741
683146,AVG,23,0.21246458923512748
683146,AVG,25,0.2544529262086514
641343,AVG,22,0.20123839009287925
641343,AVG,23,0.22580645161290322
641343,AVG,25,0.20921985815602837
641343,AVG,27,0.2024793388429752
641343,AVG,28,0.1986754966887417
641355,AVG,21,0.26666666666666666
641355,AVG,22,0.26032315978456017
641355,AVG,23,0.3046594982078853
641355,AVG,24,0.23943661971830985
641355,AVG,25,0.16507936507936508
641355,AVG,26,0.21031746031746032
641355,AVG,27,0.3066132264529058
641355,AVG,28,0.2655038759689923
641355,AVG,29,0.272108843537415
605137,AVG,24,0.2550091074681239
605137,AVG,25,0.26147704590818366
605137,AVG,26,0.27703984819734345
605137,AVG,28,0.26104417670682734
605137,AVG,29,0.266304347826087
605137,AVG,30,0.24680073126142596
605137,AVG,31,0.24907063197026022
605137,AVG,32,0.23717948717948717
643217,AVG,22,0.2705061082024433
643217,AVG,23,0.29015544041450775
643217,AVG,24,0.266173752310536
643217,AVG,26,0.27586206896551724
643217,AVG,27,0.3036876355748373
643217,AVG,28,0.2615658362989324
643217,AVG,29,0.22851153039832284
643217,AVG,30,0.24047619047619048
605141,AVG,22,0.2914572864321608
605141,AVG,23,0.31845238095238093
605141,AVG,24,0.2643312101910828
605141,AVG,25,0.34615384615384615
605141,AVG,26,0.2948073701842546
605141,AVG,27,0.2922374429223744
605141,AVG,28,0.26394849785407726
605141,AVG,29,0.2692307692307692
605141,AVG,30,0.3065068493150685
605141,AVG,31,0.28888888888888886
605141,AVG,32,0.25806451612903225
666182,AVG,23,0.2984375
666182,AVG,24,0.2898773006134969
666182,AVG,25,0.3064798598949212
666182,AVG,26,0.22508038585209003
666182,AVG,27,0.31099656357388317
668709,AVG,24,0.16666666666666666
668709,AVG,25,0.1953125
668709,AVG,26,0.243006993006993
668709,AVG,27,0.21172638436482086
593428,AVG,21,0.23977695167286245
593428,AVG,22,0.3197389885807504
593428,AVG,23,0.294478527607362
593428,AVG,24,0.2732049036777583
593428,AVG,25,0.2884990253411306
593428,AVG,26,0.30944625407166126
593428,AVG,27,0.30049261083743845
593428,AVG,28,0.2948960302457467
593428,AVG,29,0.30700179533213645
593428,AVG,30,0.28523489932885904
593428,AVG,31,0.26401869158878505
593428,AVG,32,0.26272912423625255
664761,AVG,24,0.24736842105263157
664761,AVG,25,0.27986348122866894
664761,AVG,26,0.27419354838709675
664761,AVG,27,0.27978339350180503
664761,AVG,28,0.28663793103448276
608324,AVG,22,0.263681592039801
608324,AVG,23,0.2841726618705036
608324,AVG,24,0.28619528619528617
608324,AVG,25,0.296028880866426
608324,AVG,27,0.27011494252873564
608324,AVG,28,0.2591240875912409
608324,AVG,29,0.2620578778135048
608324,AVG,30,0.25989672977624784
608324,AVG,31,0.27251732101616627
669394,AVG,27,0.25
669394,AVG,28,0.2504672897196262
669394,AVG,29,0.23595505617977527
676475,AVG,24,0.24444444444444444
676475,AVG,25,0.2687385740402194
676475,AVG,26,0.289738430583501
683737,AVG,26,0.24798387096774194
683737,AVG,27,0.26145038167938933
671732,AVG,23,0.2621359223300971
671732,AVG,24,0.23374340949033393
621439,AVG,22,0.22483221476510068
621439,AVG,23,0.2532467532467532
621439,AVG,25,0.26199261992619927
621439,AVG,27,0.30638297872340425
621439,AVG,28,0.2235294117647059
621439,AVG,29,0.20723684210526316
621439,AVG,30,0.27887323943661974
621439,AVG,31,0.26434426229508196
676609,AVG,26,0.22077922077922077
676609,AVG,27,0.22675736961451248
676609,AVG,28,0.2356687898089172
695506,AVG,22,0.15714285714285714
691406,AVG,21,0.26411960132890366
686527,AVG,27,0.3004115226337449
605170,AVG,25,0.26639344262295084
605170,AVG,27,0.2268370607028754
605170,AVG,28,0.19852941176470587
605170,AVG,29,0.25870646766169153
605170,AVG,30,0.2693877551020408
605170,AVG,31,0.25872093023255816
681481,AVG,25,0.27751196172248804
681481,AVG,26,0.2840909090909091
681481,AVG,27,0.2517321016166282
682998,AVG,22,0.2849557522123894
