key_mlbam,Current_Hit_Streak,last_game_date,name_first,name_last,team
693304,15,2026-07-30,Nick,Gonzales,PIT
545121,11,2026-07-29,Ildemaro,Vargas,AZ
665161,11,2026-07-29,Jeremy,Peña,HOU
518692,10,2026-07-30,Freddie,Freeman,LAD
543510,7,2026-07-28,James,McCann,AZ
663968,7,2026-07-30,Jake,Mangum,PIT
808959,7,2026-07-30,Munetaka,Murakami,CWS
680777,6,2026-07-30,Ryan,Jeffers,MIN
695734,6,2026-07-30,Daylen,Lile,WSH
690993,6,2026-07-29,Colt,Keith,DET
642715,6,2026-07-30,Willy,Adames,SF
666018,5,2026-07-30,Jonathan,Aranda,TB
667472,5,2026-07-30,Dane,Myers,CIN
641343,5,2026-07-29,Jake,Bauers,MIL
678882,5,2026-07-30,Ceddanne,Rafaela,BOS
687221,5,2026-07-30,Dalton,Rushing,LAD
671277,5,2026-07-30,Luis,García,WSH
668904,5,2026-07-30,Royce,Lewis,MIN
669364,5,2026-07-30,Xavier,Edwards,MIA
647304,5,2026-07-30,Josh,Naylor,SEA
702284,5,2026-07-30,Cole,Young,SEA
664040,5,2026-07-30,Brandon,Lowe,PIT
656941,5,2026-07-27,Kyle,Schwarber,PHI
701538,5,2026-07-30,Jackson,Merrill,SD
543807,5,2026-07-29,George,Springer,TOR
676391,5,2026-07-29,Ernie,Clement,TOR
643446,5,2026-07-30,Jeff,McNeil,ATH
641355,5,2026-07-25,Cody,Bellinger,NYY
672356,4,2026-07-29,Gabriel,Arias,CLE
608324,4,2026-07-30,Alex,Bregman,CHC
808982,4,2026-07-30,Jung Hoo,Lee,SF
606466,4,2026-07-29,Ketel,Marte,AZ
682848,4,2026-07-30,Endy,Rodríguez,PIT
814439,4,2026-07-28,Ryan,Waldschmidt,AZ
664761,4,2026-07-29,Alec,Bohm,PHI
682998,4,2026-07-29,Corbin,Carroll,AZ
665019,4,2026-07-30,Kody,Clemens,MIN
547180,4,2026-07-29,Bryce,Harper,PHI
702616,3,2026-07-29,Jackson,Holliday,BAL
