player_id,player_display_name,position,season,team,games_played,possible_games,games_missed,dk_points_total,dk_points_per_game,r1_dk_points,r2_r4_dk_points,games_missed_prior_season,season_snap_share,points_above_replacement,overall_rank,position_rank,points_z_score
00-0033280,Christian McCaffrey,RB,2025,SF,17,17,0,428.6,25.211764705882356,334.5,94.10000000000001,13.0,0.8314005352363961,602.608695652174,1,1,2.795626638994409
00-0038542,Bijan Robinson,RB,2025,ATL,17,17,0,394.8,23.223529411764705,284.3,110.5,0.0,0.7846715328467153,549.704347826087,2,2,2.385191593202332
00-0039139,Jahmyr Gibbs,RB,2025,DET,17,17,0,379.90000000000003,22.347058823529412,319.6,60.300000000000004,0.0,0.6706096451319381,526.3826086956523,3,3,2.2042601676904403
00-0036223,Jonathan Taylor,RB,2025,IND,17,17,0,378.3,22.25294117647059,325.0,53.300000000000004,3.0,0.8236940298507462,523.8782608695652,4,4,2.184831289783123
00-0039040,De'Von Achane,RB,2025,MIA,16,17,1,334.8,20.925,283.90000000000003,50.9,0.0,0.7074413863404689,455.7913043478261,5,5,1.6566086716779351
00-0037248,James Cook,RB,2025,BUF,17,17,0,332.20000000000005,19.541176470588237,258.5,73.7,1.0,0.5644876325088339,451.72173913043486,6,6,1.625036745078545
00-0032764,Derrick Henry,RB,2025,BAL,17,17,0,306.5,18.029411764705884,202.5,104.0,0.0,0.5473372781065089,411.495652173913,7,7,1.3129603936922611
00-0038597,Chase Brown,RB,2025,CIN,17,17,0,291.6,17.15294117647059,191.6,100.0,1.0,0.6642664266426642,388.1739130434783,8,8,1.1320289681803697
00-0037840,Kyren Williams,RB,2025,LA,17,17,0,268.3,15.782352941176471,207.9,60.4,1.0,0.6801762114537445,351.704347826087,9,9,0.8490959336550621
00-0036973,Travis Etienne,RB,2025,JAX,17,17,0,259.90000000000003,15.28823529411765,195.8,64.10000000000001,2.0,0.6008695652173913,338.5565217391305,10,10,0.7470943246416468
00-0039075,Puka Nacua,WR,2025,LA,16,17,1,394.0,24.625,271.9,122.10000000000001,6.0,0.6405286343612335,330.71111111111105,11,1,3.787289695004399
00-0040122,Ashton Jeanty,RB,2025,LV,17,17,0,252.1,14.829411764705881,187.4,64.7,,0.7764350453172205,326.34782608695656,12,11,0.6523785448434748
00-0038543,Jaxon Smith-Njigba,WR,2025,SEA,17,17,0,387.9,22.81764705882353,312.4,75.5,0.0,0.7791353383458647,324.3851851851851,13,2,3.6896539667855226
00-0036997,Javonte Williams,RB,2025,DAL,16,17,1,250.8,15.675,218.0,32.8,0.0,0.648397976391231,324.3130434782609,14,12,0.6365925815437797
00-0034844,Saquon Barkley,RB,2025,PHI,16,17,1,242.3,15.14375,194.1,48.2,1.0,0.7333965844402277,311.00869565217397,15,13,0.5333766676611569
00-0036275,D'Andre Swift,RB,2025,CHI,16,17,1,239.6,14.975,180.3,59.3,0.0,0.5381282495667244,306.7826086956522,16,14,0.5005904361925588
00-0035700,Josh Jacobs,RB,2025,GB,15,17,2,239.10000000000002,15.940000000000001,208.8,30.300000000000004,0.0,0.527117031398668,306.00000000000006,17,15,0.4945189118465225
00-0036139,Rico Dowdle,RB,2025,CAR,17,17,0,226.3,13.311764705882354,192.3,34.0,1.0,0.5570216776625825,285.9652173913044,18,16,0.3390878885879844
00-0037228,Jaylen Warren,RB,2025,PIT,16,17,1,223.1,13.94375,161.9,61.2,2.0,0.4742967992240543,280.95652173913044,19,17,0.3002301327733497
00-0036919,Kenny Gainwell,RB,2025,PIT,17,17,0,222.3,13.076470588235296,150.7,71.6,0.0,0.501454898157129,279.704347826087,20,18,0.2905156938196913
00-0036963,Amon-Ra St. Brown,WR,2025,DET,17,17,0,339.0,19.941176470588236,242.5,96.5,0.0,0.8544131028207461,273.67407407407404,21,3,2.906967555326012
00-0038120,Breece Hall,RB,2025,NYJ,16,17,1,217.5,13.59375,179.6,37.900000000000006,1.0,0.6106870229007634,272.19130434782613,22,19,0.23222906009773941
00-0036900,Ja'Marr Chase,WR,2025,CIN,16,17,1,335.6,20.975,237.9,97.7,0.0,0.8883888388838884,270.14814814814815,23,4,2.852547641236803
00-0040734,TreVeyon Henderson,RB,2025,NE,17,17,0,213.20000000000002,12.541176470588237,152.4,60.800000000000004,,0.4579524680073126,265.4608695652174,24,20,0.18001395072182452
00-0040730,RJ Harvey,RB,2025,DEN,17,17,0,207.6,12.211764705882352,151.1,56.5,,0.4219298245614035,256.69565217391306,25,21,0.1120128780462139
00-0034857,Josh Allen,QB,2025,BUF,16,17,1,389.62,24.35125,333.02,56.6,1.0,0.9134275618374559,244.16,26,1,1.7877882512182302
00-0038134,Kenneth Walker III,RB,2025,SEA,17,17,0,197.9,11.641176470588235,141.6,56.3,6.0,0.4680451127819549,241.5130434782609,27,22,-0.005774694266896765
