consensus_rank,rank,player_name,TEAM,POS,BEST,WORST,AVG.,STD.DEV,source_url,consensus_score,sources_ranked_by,source_ranks,CNG,College,Ht,Wt,CLS,Pick
1,12,Makai Lemon,USC,WR,15,40.0,23.3,11.8,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,18.0,2,"{'DraftTek': 12.0, 'FantasyPros': 24.0}",--,USC,"5'11""",192,JR,20
2,1,Fernando Mendoza,,QB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,51.0,1,"{'DraftTek': 1.0, 'FantasyPros': None}",--,Indiana,"6'5""",236,RJR,1
3,1,Fernando Mendoza (Indiana),Fernando Mendoza (Indiana),QB1,1,4.0,2.0,1.4,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,51.0,1,"{'DraftTek': None, 'FantasyPros': 1.0}",,,,,,
4,2,Arvell Reese,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,51.5,1,"{'DraftTek': 2.0, 'FantasyPros': None}",--,Ohio State,"6'4""",241,JR,4
5,2,Caleb Downs (Ohio State),Caleb Downs (Ohio State),S1,2,4.0,3.0,0.8,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,51.5,1,"{'DraftTek': None, 'FantasyPros': 2.0}",,,,,,
6,3,Arvell Reese (Ohio State),Arvell Reese (Ohio State),LB1,1,5.0,3.3,1.7,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,52.0,1,"{'DraftTek': None, 'FantasyPros': 3.0}",,,,,,
7,3,Jeremiyah Love,,RB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,52.0,1,"{'DraftTek': 3.0, 'FantasyPros': None}",--,Notre Dame,"6'0""",212,JR,3
8,4,David Bailey,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,52.5,1,"{'DraftTek': 4.0, 'FantasyPros': None}",+3,Texas Tech,"6'4""",251,SR,2
9,4,Jeremiyah Love (Notre Dame),Jeremiyah Love (Notre Dame),RB1,2,10.0,7.0,3.6,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,52.5,1,"{'DraftTek': None, 'FantasyPros': 4.0}",,,,,,
10,5,Rueben Bain Jr. (Miami),Rueben Bain Jr. (Miami),EDGE1,2,18.0,7.7,7.3,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,53.0,1,"{'DraftTek': None, 'FantasyPros': 5.0}",,,,,,
11,5,Sonny Styles,,OLB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,53.0,1,"{'DraftTek': 5.0, 'FantasyPros': None}",--,Ohio State,"6'5""",244,SR,7
12,6,Caleb Downs,,S,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,53.5,1,"{'DraftTek': 6.0, 'FantasyPros': None}",--,Ohio State,"6'0""",206,JR,11
13,6,Jordyn Tyson (Arizona State),Jordyn Tyson (Arizona State),WR1,7,10.0,8.7,1.3,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,53.5,1,"{'DraftTek': None, 'FantasyPros': 6.0}",,,,,,
14,7,Francis Mauigoa,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,54.0,1,"{'DraftTek': 7.0, 'FantasyPros': None}",--,Miami (FL),"6'6""",329,JR,10
15,7,Francis Mauigoa (Miami),Francis Mauigoa (Miami),OT1,6,13.0,9.0,2.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,54.0,1,"{'DraftTek': None, 'FantasyPros': 7.0}",,,,,,
16,8,Keldric Faulk (Auburn),Keldric Faulk (Auburn),DE1,7,12.0,9.0,2.2,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,54.5,1,"{'DraftTek': None, 'FantasyPros': 8.0}",,,,,,
17,8,Mansoor Delane,,CB,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,54.5,1,"{'DraftTek': 8.0, 'FantasyPros': None}",--,LSU,"6'0""",187,SR,6
18,9,Carnell Tate,,WR,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,55.0,1,"{'DraftTek': 9.0, 'FantasyPros': None}",--,Ohio State,"6'2""",192,JR,4
19,9,David Bailey (Texas Tech),David Bailey (Texas Tech),DT1,3,19.0,9.3,6.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,55.0,1,"{'DraftTek': None, 'FantasyPros': 9.0}",,,,,,
20,10,Jordyn Tyson,,WR,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,55.5,1,"{'DraftTek': 10.0, 'FantasyPros': None}",+5,Arizona State,"6'2""",203,RJR,8
21,10,Spencer Fano (Utah),Spencer Fano (Utah),OT2,7,16.0,10.3,4.0,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,55.5,1,"{'DraftTek': None, 'FantasyPros': 10.0}",,,,,,
22,11,Mansoor Delane (Virginia Tech),Mansoor Delane (Virginia Tech),CB1,11,13.0,11.7,0.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,56.0,1,"{'DraftTek': None, 'FantasyPros': 11.0}",,,,,,
23,11,Spencer Fano,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,56.0,1,"{'DraftTek': 11.0, 'FantasyPros': None}",--,Utah,"6'6""",311,JR,9
24,12,Jermod McCoy (Tennessee),Jermod McCoy (Tennessee),CB2,9,16.0,12.0,2.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,56.5,1,"{'DraftTek': None, 'FantasyPros': 12.0}",,,,,,
25,13,Carnell Tate (Ohio State),Carnell Tate (Ohio State),WR2,5,20.0,12.3,6.1,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,57.0,1,"{'DraftTek': None, 'FantasyPros': 13.0}",,,,,,
26,13,Rueben Bain Jr.,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,57.0,1,"{'DraftTek': 13.0, 'FantasyPros': None}",--,Miami (FL),"6'2""",263,JR,15
27,14,Olaivavega Ioane,,OG,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,57.5,1,"{'DraftTek': 14.0, 'FantasyPros': None}",--,Penn State,"6'4""",320,RJR,14
