player_id,ecr,ecr_sd,ecr_best,ecr_worst
00-0038542,1.5,0.5,1,2
00-0039139,1.67,0.75,1,3
00-0036900,3.17,0.69,2,4
00-0039075,3.83,0.69,3,5
00-0038543,5.67,0.75,5,7
00-0036963,7.17,0.69,6,8
00-0033280,7.83,5.52,4,20
00-0036223,9.67,2.62,6,14
00-0037248,10.33,3.3,6,15
00-0036358,12.0,3.27,9,17
00-0038597,12.17,2.91,9,16
00-0036322,14.5,7.21,8,30
00-0040666,14.67,1.7,13,18
00-0039040,16.0,2.89,11,18
00-0040122,16.17,7.99,9,31
00-0037238,17.0,5.1,12,27
00-0039338,18.33,3.73,12,23
00-0036554,20.67,4.35,13,25
00-0034844,21.17,8.9,12,37
00-0035676,21.33,10.14,9,38
00-0037247,22.67,3.3,19,27
00-0038134,23.17,11.38,13,44
00-0032764,25.83,10.7,16,48
00-0036912,27.17,5.98,16,35
00-0038120,27.17,4.18,24,36
00-0037744,27.5,3.64,22,34
00-0036997,28.17,6.59,19,39
00-0039067,28.33,15.11,8,49
00-0039064,30.0,7.07,18,39
00-0037239,32.33,9.41,21,49
00-0037840,32.67,9.23,20,45
00-0034857,33.33,4.71,26,38
00-0040124,34.67,10.26,21,54
00-0040129,36.67,7.93,24,48
00-0041027,37.0,11.36,23,57
00-0039337,37.67,9.34,22,50
00-0036410,38.0,6.61,30,47
00-0036613,39.33,6.7,25,45
00-0037740,40.5,5.59,33,51
00-0039915,41.5,11.9,30,61
00-0035700,41.67,12.04,24,56
00-0035659,42.5,5.8,33,52
00-0036973,45.0,11.25,33,64
00-0040735,46.33,4.92,38,52
00-0034827,49.67,6.6,40,59
00-0031408,49.83,5.34,43,57
00-0034796,50.0,12.92,36,74
00-0040126,51.0,25.27,26,102
00-0037240,51.17,18.1,19,74
00-0036442,51.67,15.18,27,67
00-0040734,53.17,17.35,37,86
00-0039851,54.17,16.18,29,76
00-0035685,55.33,6.65,45,65
00-0031381,55.67,12.05,43,79
00-0041438,55.83,8.65,46,70
00-0040715,56.0,8.91,49,75
00-0039910,56.33,18.78,29,83
00-0038124,58.5,12.19,41,78
00-0036275,58.67,7.36,49,72
00-0039361,59.17,9.82,51,80
00-0036389,61.17,15.07,32,74
00-0040719,61.17,22.38,43,109
00-0040128,62.67,6.45,56,71
00-0041512,63.67,14.82,35,85
00-0040784,64.67,14.01,47,91
00-0038996,65.5,11.94,42,80
00-0041029,67.0,4.32,62,74
00-0039919,72.5,15.97,47,93
00-0037664,74.5,19.79,36,99
00-0038606,74.67,15.58,58,101
00-0036971,76.17,7.22,67,87
00-0039918,76.33,11.9,62,97
00-0033077,76.83,16.62,58,108
00-0036355,77.0,11.66,58,90
00-0039849,77.33,16.73,65,114
00-0035640,77.67,12.35,54,90
00-0035261,78.17,17.01,55,105
00-0037228,78.67,6.39,70,85
00-0039893,78.83,20.92,55,106
00-0034348,84.0,19.0,53,110
00-0039065,84.83,6.52,75,93
00-0036875,85.5,12.59,72,111
00-0033921,86.83,13.45,66,110
00-0040867,88.5,18.9,72,126
00-0038544,88.67,25.2,45,126
00-0039344,90.0,11.02,76,107
00-0040691,92.17,17.98,62,111
00-0037834,92.67,15.93,77,124
00-0038117,93.0,13.01,78,113
00-0036139,93.17,13.53,73,117
00-0038997,93.5,19.16,70,127
00-0040730,93.5,15.69,81,126
00-0036970,94.0,10.17,84,113
00-0036555,94.33,15.81,66,119
00-0036252,95.17,19.4,62,125
00-0033873,95.5,10.36,78,107
00-0038559,96.67,22.71,68,129
00-0040663,97.33,14.14,76,114
00-0030506,97.5,13.96,77,121
00-0039732,97.83,9.32,83,112
00-0038994,98.17,22.55,56,119
00-0033288,100.0,20.11,60,120
00-0034960,103.83,22.81,71,137
00-0039894,105.33,30.21,61,149
00-0040236,105.67,7.06,96,116
00-0033106,106.17,11.82,88,127
00-0038933,107.67,20.59,79,142
00-0026498,108.67,18.99,69,124
00-0039738,110.5,17.56,92,144
00-0036158,112.0,35.42,72,171
00-0040130,112.17,18.69,79,136
00-0036919,112.5,15.54,82,131
00-0039146,113.17,19.48,81,136
00-0037256,113.5,24.14,72,152
00-0035228,115.83,8.88,105,133
00-0033293,117.5,22.26,87,159
00-0037816,117.5,9.78,101,134
00-0034855,117.67,8.83,100,128
00-0036264,118.33,9.03,107,132
00-0034351,119.67,15.99,91,134
00-0040743,123.83,15.61,103,146
00-0039491,124.0,12.46,98,135
00-0040242,124.33,15.69,92,138
00-0038041,124.83,18.85,98,157
00-0037525,127.5,25.66,103,182
00-0034753,127.83,24.31,100,174
00-0038128,128.83,31.56,104,195
00-0037838,130.83,40.25,87,210
00-0037261,131.5,14.83,101,145
00-0040667,135.33,18.85,112,162
00-0039163,140.5,21.37,112,178
00-0041547,102.0,11.45,91,120
00-0037545,142.5,21.05,118,183
00-0041037,144.67,10.75,122,153
00-0036040,146.67,20.2,116,167
00-0039384,148.67,19.68,130,188
00-0040583,152.0,22.8,115,184
00-0037809,152.17,31.04,110,203
00-0037263,154.5,34.67,121,229
00-0037252,155.5,26.81,112,188
00-0038935,155.67,21.42,128,194
00-0033906,157.5,21.46,129,199
00-0039165,157.67,18.39,140,192
00-0038454,159.33,57.03,122,285
00-0040162,159.83,26.02,121,200
00-0040676,161.5,33.92,134,236
00-0033090,162.67,20.61,133,187
00-0040189,163.83,27.08,123,215
00-0041496,164.0,34.63,137,239
00-0041032,164.67,35.05,123,216
00-0034383,164.83,21.78,143,210
00-0037197,167.33,14.08,149,189
00-0031588,133.0,22.24,94,163
00-0036407,170.0,15.0,144,194
00-0041511,137.6,10.13,122,153
00-0034869,139.8,6.68,133,152
00-0038555,174.5,32.55,131,219
00-0035229,174.83,21.82,143,202
00-0038563,175.83,61.21,110,295
00-0035710,144.0,4.77,138,152
00-0039793,179.0,34.39,146,228
00-0039032,181.17,29.41,145,224
00-0038611,151.6,36.27,121,211
00-0041035,155.6,30.85,108,198
00-0037291,160.4,29.04,117,208
00-0041040,163.2,16.67,131,178
00-0038129,193.5,26.4,154,229
00-0030565,165.6,10.25,158,185
00-0039811,195.17,43.8,147,278
00-0037746,168.8,17.47,142,196
00-0036259,169.2,20.0,147,206
00-0023459,174.2,36.74,128,241
00-0039880,202.17,46.24,135,285
00-0035719,134.25,25.85,102,163
