date,season,week,game_id,home_team,away_team,predicted_winner,predicted_loser,predicted_probability,above_threshold,status,market_home_win_probability,market_predicted_winner_probability,bet_units,bet_side,bet_team,bet_moneyline,bet_profit_units
2026-09-28,2026,3,2026_03_PHI_CHI,CHI,PHI,PHI,CHI,0.5083441658186378,False,pending,0.3907637655417407,0.6092362344582594,0.0,home,CHI,145.0,
2026-09-27,2026,3,2026_03_LA_DEN,DEN,LA,LA,DEN,0.5163237931006717,False,pending,0.448558885283451,0.551441114716549,0.0,,,,
2026-09-27,2026,3,2026_03_ARI_SF,SF,ARI,SF,ARI,0.7584853301429272,True,pending,0.7957758771164253,0.7957758771164253,0.0,,,,
2026-09-27,2026,3,2026_03_BAL_DAL,DAL,BAL,BAL,DAL,0.5796583295077085,False,pending,0.4170073589533933,0.5829926410466066,0.0,,,,
2026-09-27,2026,3,2026_03_CAR_CLE,CLE,CAR,CLE,CAR,0.5016787582238429,False,pending,0.4279403644395361,0.4279403644395361,0.0,home,CLE,124.0,
2026-09-27,2026,3,2026_03_CIN_PIT,PIT,CIN,CIN,PIT,0.5652553209212297,False,pending,0.3775334481388264,0.6224665518611736,0.0,,,,
2026-09-27,2026,3,2026_03_KC_MIA,MIA,KC,KC,MIA,0.6588386961556545,True,pending,0.1420560747663551,0.8579439252336449,2.0,home,MIA,575.0,
2026-09-27,2026,3,2026_03_LAC_BUF,BUF,LAC,BUF,LAC,0.8270565460713635,True,pending,0.740871613663133,0.740871613663133,0.0,home,BUF,-340.0,
2026-09-27,2026,3,2026_03_HOU_IND,IND,HOU,IND,HOU,0.500288170341053,False,pending,0.4365079365079364,0.4365079365079364,0.0,,,,
2026-09-27,2026,3,2026_03_LV_NO,NO,LV,NO,LV,0.7121771716968689,True,pending,0.6309403437815976,0.6309403437815976,0.0,home,NO,-192.0,
2026-09-27,2026,3,2026_03_MIN_TB,TB,MIN,MIN,TB,0.5810373555575786,False,pending,0.4782608695652174,0.5217391304347826,0.0,,,,
2026-09-27,2026,3,2026_03_NE_JAX,JAX,NE,JAX,NE,0.6357244581083148,True,pending,0.5996387718242023,0.5996387718242023,0.0,,,,
2026-09-27,2026,3,2026_03_NYJ_DET,DET,NYJ,DET,NYJ,0.7653000064148698,True,pending,0.7220792588780237,0.7220792588780237,0.0,,,,
2026-09-27,2026,3,2026_03_SEA_WAS,WAS,SEA,SEA,WAS,0.6570429034057267,True,pending,0.2779207411219763,0.7220792588780237,0.0,home,WAS,245.0,
2026-09-27,2026,3,2026_03_TEN_NYG,NYG,TEN,NYG,TEN,0.7421765476652589,True,pending,0.5996387718242023,0.5996387718242023,0.0,home,NYG,-166.0,
2026-09-24,2026,3,2026_03_ATL_GB,GB,ATL,GB,ATL,0.7135512302607419,True,pending,0.7135512302607419,0.7135512302607419,0.0,,,,
2026-09-21,2026,2,2026_02_NYG_LA,LA,NYG,LA,NYG,0.7477827050997783,True,win,0.7477827050997783,0.7477827050997783,0.0,,,,
2026-09-20,2026,2,2026_02_MIN_CHI,CHI,MIN,CHI,MIN,0.5571967594137494,False,loss,0.6690070210631895,0.6690070210631895,0.0,away,MIN,190.0,
2026-09-20,2026,2,2026_02_WAS_DAL,DAL,WAS,DAL,WAS,0.5588528084348872,False,win,0.6574752261956054,0.6574752261956054,0.0,away,WAS,180.0,
2026-09-20,2026,2,2026_02_SEA_ARI,ARI,SEA,SEA,ARI,0.660386336467484,True,win,0.3363518758085381,0.6636481241914619,0.0,,,,
2026-09-20,2026,2,2026_02_PIT_NE,NE,PIT,NE,PIT,0.7807151688125538,True,win,0.6750312469954812,0.6750312469954812,0.0,home,NE,-238.0,
2026-09-20,2026,2,2026_02_PHI_TEN,TEN,PHI,PHI,TEN,0.648532772626671,True,win,0.2779207411219763,0.7220792588780237,0.0,home,TEN,245.0,
2026-09-20,2026,2,2026_02_NO_BAL,BAL,NO,BAL,NO,0.6006679626246273,False,loss,0.771505376344086,0.771505376344086,0.2739173757617639,away,NO,320.0,0.8765356024376445
2026-09-20,2026,2,2026_02_MIA_SF,SF,MIA,SF,MIA,0.8003223295971101,True,win,0.8677165354330709,0.8677165354330709,0.0,away,MIA,625.0,
2026-09-20,2026,2,2026_02_JAX_DEN,DEN,JAX,JAX,DEN,0.6355777808176877,True,loss,0.551441114716549,0.448558885283451,2.0,away,JAX,114.0,-2.0
2026-09-20,2026,2,2026_02_IND_KC,KC,IND,KC,IND,0.7220792588780237,True,win,0.7220792588780237,0.7220792588780237,0.0,,,,
2026-09-20,2026,2,2026_02_GB_NYJ,NYJ,GB,GB,NYJ,0.5814495468631454,False,win,0.355270821199767,0.644729178800233,0.0,,,,
2026-09-20,2026,2,2026_02_CLE_TB,TB,CLE,TB,CLE,0.771505376344086,True,loss,0.771505376344086,0.771505376344086,0.0,,,,
